produccion_toneladas,año,id_municipio,subregion
1413.0,2011,76670,Centro
68240.0,2011,76736,Centro
846.0,2011,76020,Norte
5790.0,2011,76041,Norte
456.0,2011,76001,Sur
994.0,2011,76109,Pacifico
6300.0,2011,76111,Centro
16080.0,2011,76054,Norte
4459.0,2011,76100,Norte
1240.0,2011,76306,Sur
980.0,2011,76318,Centro
340.0,2011,76250,Norte
4120.0,2011,76275,Sur
1722.0,2011,76403,Norte
3116.0,2011,76497,Norte
2061.0,2011,76377,Sur
1500.0,2011,76364,Sur
299.0,2011,76400,Norte
1194.0,2011,76126,Centro
60.0,2011,76130,Sur
1960.0,2011,76113,Centro
8490.0,2011,76122,Centro
42095.0,2011,76246,Norte
1377.0,2011,76147,Norte
456.0,2011,76233,Sur
6340.0,2011,76243,Norte
959.0,2010,76869,Sur
7931.0,2010,76890,Centro
2238.0,2010,76863,Norte
3728.0,2010,76834,Centro
9802.0,2010,76845,Norte
180.0,2010,76892,Sur
126.0,2010,76895,Norte
3091.0,2010,76606,Centro
10804.0,2010,76616,Centro
2949.0,2010,76497,Norte
2160.0,2010,76520,Sur
70.0,2010,76563,Sur
2860.0,2010,76823,Norte
6795.0,2010,76828,Centro
47208.0,2010,76736,Centro
456.0,2010,76622,Norte
1413.0,2010,76670,Centro
600.0,2010,76036,Centro
2040.0,2010,76020,Norte
504.0,2010,76001,Sur
735.0,2010,76109,Pacifico
3700.0,2010,76111,Centro
4693.0,2010,76100,Norte
4969.0,2010,76041,Norte
19080.0,2010,76054,Norte
994.0,2010,76306,Sur
980.0,2010,76318,Centro
400.0,2010,76250,Norte
4120.0,2010,76275,Sur
1740.0,2010,76403,Norte
230.0,2010,76400,Norte
3664.0,2010,76364,Sur
2021.0,2010,76377,Sur
1236.0,2010,76126,Centro
60.0,2010,76130,Sur
1960.0,2010,76113,Centro
13509.0,2010,76122,Centro
6662.0,2010,76243,Norte
31740.0,2010,76246,Norte
1368.0,2010,76147,Norte
3952.0,2010,76233,Sur
889.0,2009,76869,Sur
5682.0,2009,76890,Centro
3220.0,2009,76863,Norte
3728.0,2009,76834,Centro
4185.0,2009,76845,Norte
192.0,2009,76892,Sur
98.0,2009,76895,Norte
5882.0,2009,76828,Centro
3003.0,2009,76606,Centro
10802.0,2009,76616,Centro
2700.0,2009,76497,Norte
70.0,2009,76563,Sur
2160.0,2009,76520,Sur
12249.0,2009,76736,Centro
2830.0,2009,76823,Norte
456.0,2009,76622,Norte
1395.0,2009,76670,Centro
1071.0,2009,76020,Norte
560.0,2009,76036,Centro
300.0,2009,76001,Sur
4238.0,2009,76100,Norte
735.0,2009,76109,Pacifico
4966.0,2009,76041,Norte
16080.0,2009,76054,Norte
2737.0,2009,76111,Centro
994.0,2009,76306,Sur
465.0,2009,76318,Centro
400.0,2009,76250,Norte
3330.0,2009,76275,Sur
1680.0,2009,76403,Norte
173.0,2009,76400,Norte
1128.0,2009,76364,Sur
2028.0,2009,76377,Sur
1212.0,2009,76126,Centro
100.0,2009,76130,Sur
16359.0,2009,76122,Centro
2320.0,2009,76113,Centro
6333.0,2009,76243,Norte
31366.0,2009,76246,Norte
60.0,2009,76248,Sur
1206.0,2009,76147,Norte
2945.0,2009,76233,Sur
1764.0,2008,76863,Norte
896.0,2008,76869,Sur
2448.0,2008,76890,Centro
5760.0,2008,76828,Centro
2121.0,2008,76845,Norte
2160.0,2008,76834,Centro
192.0,2008,76892,Sur
182.0,2008,76895,Norte
2915.0,2008,76606,Centro
8996.0,2008,76616,Centro
2700.0,2008,76497,Norte
70.0,2008,76563,Sur
2160.0,2008,76520,Sur
12960.0,2008,76736,Centro
2830.0,2008,76823,Norte
690.0,2008,76622,Norte
1395.0,2008,76670,Centro
2633.0,2008,76020,Norte
270.0,2008,76036,Centro
69.0,2008,76001,Sur
770.0,2008,76109,Pacifico
3926.0,2008,76100,Norte
4420.0,2008,76111,Centro
2831.0,2008,76041,Norte
14290.0,2008,76054,Norte
828.0,2008,76306,Sur
465.0,2008,76318,Centro
1359.0,2008,76250,Norte
3450.0,2008,76275,Sur
299.0,2008,76400,Norte
1692.0,2008,76403,Norte
